Point,x,y
1,0.478961777,0.75420394
2,0.60136611,0.573881939
3,1.003005471,0.342039363
4,1.001092932,0.27763865
5,0.955191261,0.158855015
6,0.955191261,0.125939215
7,1.203825151,0.327728093
8,1.150273324,0.214669097
9,1.255464585,0.190339928
10,1.255464585,0.157424019
11,1.303278795,0.14597496
12,1.343442702,0.072987398
13,1.343442702,0.018604694
14,1.069945364,0.035778228
15,1.553825224,0.237567106
16,1.418032898,0.16601065
17,1.396994529,0.121645845
18,1.450546502,0.072987398
19,1.448633963,0.117352421
20,1.448633963,0.11878358
21,1.448633963,0.107334576
22,1.504098475,0.168873024
23,1.473497265,0.135957115
24,2.169672186,0.017173589
25,1.802459114,0.147406119
26,1.771858049,0.12737032
27,1.725956379,0.101609937
28,1.603551973,0.147406119
29,1.580601211,0.134525955
30,1.530874316,0.13166369
31,1.504098475,0.138819325
32,1.500273251,0.117352421
33,1.89234977,0.098747781
34,1.875136771,0.080143033
35,1.856011088,0.081574247
36,1.856011088,0.081574247
37,1.94016398,0.074418612
38,1.955464585,0.061538502
39,1.924863374,0.057245133
40,1.938251587,0.047227233
41,1.92677606,0.034347069
42,2.135245897,0.021466959
43,2.081694216,0.00572453
44,2.026229557,0.001431105
45,2.026229557,0.001431105
46,2.089344372,0.011449059
47,2.089344372,0.011449059
48,1.903825297,0.001431105
49,1.903825297,0.017173589
50,1.938251587,0.007155635
51,1.959289664,0.00572453
52,1.980328033,0.007155635
53,1.963114742,0.017173589
54,1.982240426,0.024329169
55,1.997541031,0.027191434
56,1.98797819,0.041502703
57,2.014754322,0.024329169
58,2.031967321,0.028622594
59,2.030054636,0.032915964
60,2.030054636,0.032915964
61,1.842623167,0.097316676
62,1.821584798,0.101609937
63,1.823497483,0.085867672
64,1.681967248,0.117352421
65,1.670491867,0.104472311
66,1.670491867,0.091592147
67,1.678142169,0.090161041
68,1.678142169,0.090161041
69,1.563388066,0.001431105
70,1.540437158,0.014311269
71,1.517486396,0.012880164
72,1.544262382,0.037209224
73,1.567213145,0.032915964
74,1.601639434,0.014311269
75,1.601639434,0.022897955
76,1.601639434,0.022897955
77,1.634153038,0.021466959
78,1.544262382,0.108765572
79,1.517486396,0.085867672
80,1.48879787,0.040071598
81,1.50218579,0.050089498
82,1.50218579,0.062969608
83,1.519398935,0.072987398
84,1.544262382,0.075849772
85,1.565300605,0.075849772
86,1.576775987,0.061538502
87,1.616939894,0.067262978
88,1.603551973,0.071556402
89,1.655191261,0.055813973
90,1.64371588,0.048658338
91,1.655191261,0.037209224
92,1.670491867,0.028622594
93,1.695355314,0.00858674
94,1.769945364,0.081574247
95,1.775683128,0.080143033
96,1.777595667,0.084436512
97,1.777595667,0.084436512
98,1.722131155,0.071556402
99,1.745082063,0.072987398
100,1.764207747,0.065831763
101,1.741256839,0.061538502
102,1.703005471,0.048658338
103,1.73743176,0.044364859
104,1.729781457,0.040071598
105,1.729781457,0.040071598
106,1.748907141,0.038640439
107,1.758469983,0.011449059
108,1.769945364,0.018604694
109,1.771858049,0.018604694
110,1.771858049,0.018604694
111,1.812021956,0.062969608
112,1.804371654,0.050089498
113,1.838797797,0.051520494
114,1.838797797,0.054382868
115,1.834972719,0.048658338
116,1.834972719,0.048658338
117,1.900000219,0.051520494
118,1.886612007,0.042933863
119,1.886612007,0.042933863
120,1.882786928,0.054382868
121,1.869399008,0.001431105
122,1.840710482,0.001431105
123,1.846448246,0.017173589
124,1.850273324,0.012880164
125,1.850273324,0.012880164
126,1.813934642,0.012880164
127,1.601639434,0.12737032
128,1.601639434,0.115921206
129,1.622677657,0.108765572
130,1.637978262,0.093023306
131,1.64371588,0.083005407
132,1.592076592,0.100178941
133,1.771858049,0.040071598
134,1.771858049,0.040071598
135,1.775683128,0.050089498
136,1.810109271,0.032915964
